sep=;
Agent1;Agent2;Domain;Agreement;Util1;Util2
TimeBased_Boulware;MiCROAgent;LargeComp;YES;0.6777;0.5435
TimeBased_Boulware;PhoenixAgent;LargeComp;YES;0.3875;0.7845
TimeBased_Conceder;RandomAgent;LargeComp;YES;0.8290;0.4287
TimeBased_Conceder;TimeBased_Boulware;LargeComp;YES;0.3875;0.7845
TimeBased_Conceder;TimeBased_Conceder;LargeComp;YES;0.6172;0.6462
TimeBased_Conceder;AdaptiveAgent;LargeComp;YES;0.2389;0.9737
TimeBased_Conceder;MiCROAgent;LargeComp;YES;0.6777;0.5435
TimeBased_Conceder;PhoenixAgent;LargeComp;YES;0.2389;0.9737
AdaptiveAgent;RandomAgent;LargeComp;YES;1.0441;0.0510
AdaptiveAgent;TimeBased_Boulware;LargeComp;YES;0.9644;0.0726
AdaptiveAgent;TimeBased_Conceder;LargeComp;YES;1.0441;0.0510
AdaptiveAgent;AdaptiveAgent;LargeComp;YES;0.0000;1.0000
AdaptiveAgent;MiCROAgent;LargeComp;NO;0.0000;0.0000
AdaptiveAgent;PhoenixAgent;LargeComp;YES;1.0441;0.0510
MiCROAgent;RandomAgent;LargeComp;YES;0.9240;0.1468
MiCROAgent;TimeBased_Boulware;LargeComp;YES;0.6777;0.5435
MiCROAgent;TimeBased_Conceder;LargeComp;YES;0.6777;0.5435
MiCROAgent;AdaptiveAgent;LargeComp;YES;0.6777;0.5435
MiCROAgent;MiCROAgent;LargeComp;YES;0.6777;0.5435
MiCROAgent;PhoenixAgent;LargeComp;YES;0.6777;0.5435
PhoenixAgent;RandomAgent;LargeComp;YES;1.0441;0.0510
PhoenixAgent;TimeBased_Boulware;LargeComp;YES;0.8455;0.4353
PhoenixAgent;TimeBased_Conceder;LargeComp;YES;0.9240;0.1468
PhoenixAgent;AdaptiveAgent;LargeComp;YES;0.4971;0.7420
PhoenixAgent;MiCROAgent;LargeComp;YES;0.6457;0.5528
PhoenixAgent;PhoenixAgent;LargeComp;YES;0.6172;0.6462
